1929	 2644548
1930	 5313016
1931	 3910610
1932	 4578023
1933	 3449029
1934	 2288800
1935	 2556600
1936	 2268900
1937	 2514100
1938	 2898400
1939	 3233700
1940	 1790700
1941	 836300
1942	 1645300
1944	 1112200
1945	 1700500
1946	 2573900
1947	 3010200
1948	 1862400
1949	 2331100
1950	 2898100
1951	 2021600
1952	 1587600
1953	 1905900
1954	 1108800
1955	 1201000
1956	 1828900
1957	 3469200
1958	 3265300
1959	 1973000
1960	 2787900
1961	 2692000
1962	 3892000
1963	 2108100
1964	 3497900
1965	 2694100
1966	 1884100
1967	 2186300
1968	 1001600
1969	 2250700
1970	 1579800
1971	 1530100
1972	 1574800
1973	 1513500
1974	 1821600
1975	 1653900
1976	 1473700
1977	 1163600
1978	 868900
1979	 947300
1980	 1078667
1981	 2154227
1982	 2403811
1983	 3800985
1984	 1968886
1985	 2776579
1986	 1478450
1987	 1789454
1988	 1106924
1989	 1224009
1990	 1415996
1991	 1740024
1992	 1203135
1993	 1823039
1994	 1675684
1995	 1633707
1996	 1743632
1997	 1495734
1998	 1231689
1999	 1484114
2000	 1363639
2001	 1594218
2002	 1175718
2003	 1536228
2004	 1467537
2005	 1158054
2006	 1035687
2007	 1017144
2008	 1798591
