albatross,maine,april 27
stork,michigan,september 21
heron,kentucky,september 22
albatross,kansas,june 28
common teal,kentucky,june 03
long-tailed duck,maine,august 28
vulture,kansas,september 25
flamingo,kansas,may 16
vulture,missouri,july 16
albatross,maine,july 20
albatross,michigan,august 11
bald eagle,maine,july 12
bald eagle,missouri,july 23
long-tailed duck,kentucky,september 14
bald eagle,kentucky,july 09
bald eagle,kentucky,august 08
stork,missouri,june 06
stork,kansas,june 30
shoebill,michigan,june 05
bald eagle,kentucky,september 02
bald eagle,new york,july 03
common teal,new york,may 24
bald eagle,kentucky,august 26
common teal,missouri,june 03
flamingo,new york,july 02
albatross,kentucky,june 26
little grebe,michigan,april 22
long-tailed duck,maine,september 08
little grebe,missouri,august 20
stork,kentucky,june 24
bald eagle,missouri,august 02
long-tailed duck,new york,august 21
common teal,new york,june 16
common teal,new york,june 08
little grebe,maine,april 09
long-tailed duck,kentucky,july 27
shoebill,kansas,july 15
shoebill,kansas,august 04
common teal,kentucky,july 31
heron,kentucky,august 27
vulture,michigan,may 26
flamingo,michigan,september 02
stork,michigan,june 02
common teal,new york,june 27
long-tailed duck,maine,july 13
albatross,maine,june 30
vulture,maine,august 17
flamingo,maine,june 17
little grebe,kansas,july 14
flamingo,kansas,june 13
stork,maine,june 12
albatross,michigan,august 26
little grebe,maine,september 05
flamingo,new york,august 21
flamingo,new york,april 21
little grebe,maine,july 17
little grebe,kansas,june 03
long-tailed duck,kansas,april 26
flamingo,kansas,june 26
bald eagle,maine,may 19
long-tailed duck,kansas,october 02
long-tailed duck,missouri,july 15
flamingo,missouri,july 13
flamingo,kentucky,august 26
little grebe,new york,august 11
albatross,michigan,june 14
common teal,kansas,july 05
long-tailed duck,maine,september 09
little grebe,kentucky,august 18
heron,kentucky,august 18
common teal,kentucky,june 15
common teal,michigan,may 13
common teal,maine,june 09
flamingo,maine,june 24
little grebe,kentucky,july 22
common teal,michigan,august 07
little grebe,new york,may 24
long-tailed duck,michigan,june 06
shoebill,maine,august 10
shoebill,new york,july 12
heron,maine,september 10
little grebe,kansas,september 21
bald eagle,missouri,july 24
shoebill,michigan,may 29
long-tailed duck,missouri,august 28
long-tailed duck,michigan,september 22
common teal,missouri,may 24
shoebill,missouri,september 22
shoebill,kentucky,october 24
albatross,maine,june 23
vulture,kentucky,july 16
bald eagle,michigan,august 26
common teal,new york,september 23
common teal,missouri,august 31
albatross,maine,september 15
little grebe,michigan,june 20
heron,kentucky,june 06
little grebe,maine,july 20
stork,kentucky,october 20
long-tailed duck,missouri,september 17
bald eagle,missouri,may 27
albatross,maine,may 05
flamingo,maine,june 10
heron,new york,april 22
long-tailed duck,maine,september 05
shoebill,new york,june 08
vulture,maine,september 02
bald eagle,maine,october 14
little grebe,missouri,june 17
flamingo,new york,august 21
bald eagle,kansas,may 26
flamingo,kansas,october 01
shoebill,michigan,june 01
albatross,kentucky,april 09
stork,michigan,october 20
heron,kentucky,july 15
little grebe,missouri,april 13
flamingo,kentucky,july 31
flamingo,maine,july 22
heron,maine,july 26
stork,kansas,july 01
stork,kentucky,october 02
flamingo,kentucky,july 08
heron,michigan,september 19
heron,michigan,august 10
flamingo,michigan,may 28
vulture,kansas,june 24
common teal,kansas,october 12
shoebill,kentucky,may 18
common teal,kentucky,may 04
flamingo,maine,july 19
vulture,michigan,july 19
heron,new york,july 06
heron,kansas,june 18
shoebill,kansas,june 12
heron,kansas,october 03
little grebe,maine,may 25
common teal,kentucky,july 10
heron,michigan,march 31
little grebe,maine,june 07
albatross,michigan,may 31
little grebe,kentucky,july 27
little grebe,maine,august 29
common teal,new york,june 29
flamingo,new york,september 16
albatross,maine,june 12
common teal,maine,august 12
common teal,michigan,august 03
heron,new york,may 28
heron,missouri,july 02
shoebill,missouri,october 24
flamingo,new york,september 08
shoebill,new york,may 17
vulture,missouri,may 01
little grebe,michigan,june 01
stork,new york,june 16
albatross,kentucky,august 08
long-tailed duck,new york,july 30
heron,missouri,july 27
shoebill,maine,may 11
bald eagle,kentucky,june 18
bald eagle,new york,august 17
vulture,michigan,april 28
stork,maine,october 24
little grebe,michigan,june 12
flamingo,kansas,june 19
heron,maine,may 26
long-tailed duck,michigan,july 16
stork,kansas,june 12
stork,kansas,may 01
shoebill,kentucky,august 06
bald eagle,kansas,august 31
long-tailed duck,missouri,september 18
shoebill,kentucky,june 04
stork,kentucky,august 07
vulture,kentucky,august 12
shoebill,kentucky,april 30
stork,maine,july 18
vulture,kentucky,july 20
flamingo,michigan,july 17
bald eagle,kansas,july 11
stork,maine,august 08
albatross,kansas,august 03
shoebill,maine,june 17
bald eagle,kentucky,july 19
stork,michigan,august 04
flamingo,kentucky,august 20
long-tailed duck,michigan,august 08
albatross,missouri,august 23
heron,kentucky,september 07
common teal,missouri,july 13
common teal,michigan,june 26
albatross,kansas,august 31
vulture,maine,august 07
bald eagle,kansas,june 16
stork,maine,july 14
bald eagle,missouri,july 13
stork,missouri,august 31
little grebe,kentucky,august 29
vulture,michigan,june 15
flamingo,maine,october 30
bald eagle,kentucky,june 20
long-tailed duck,michigan,april 06
vulture,michigan,may 30
albatross,missouri,june 27
little grebe,michigan,august 10
stork,new york,june 19
bald eagle,kentucky,september 04
albatross,missouri,june 11
vulture,new york,september 01
vulture,maine,march 18
little grebe,michigan,august 02
flamingo,maine,august 09
shoebill,kansas,june 25
stork,missouri,july 13
long-tailed duck,maine,june 06
heron,kentucky,june 30
vulture,kentucky,september 04
bald eagle,kansas,august 27
bald eagle,kansas,july 19
stork,missouri,september 18
common teal,missouri,october 16
little grebe,kansas,september 17
common teal,maine,september 08
long-tailed duck,maine,june 09
shoebill,michigan,august 31
flamingo,kentucky,may 11
heron,kansas,october 03
heron,kentucky,june 08
