Date,Time,Animal,Count
2009-04-22,19:47,Muskox,7
2009-04-22,08:41,Elk,35
2009-04-22,12:20,Owl,21
2009-04-22,14:30,Wolverine,25
2009-04-22,06:03,Fox,19
2009-04-23,04:00,Elk,2
2009-04-23,03:10,Owl,23
2009-04-23,20:54,Owl,18
2009-04-23,09:38,Grizzly,37
2009-04-23,21:37,Moose,1
2009-04-23,16:16,Wolverine,4
2009-04-23,04:22,Muskox,42
2009-04-23,17:18,Moose,40
2009-04-23,07:35,Ptarmigan,30
2009-04-24,06:36,Fox,1
2009-04-24,12:56,Fox,7
2009-04-24,02:47,Moose,41
2009-04-25,16:43,Grizzly,24
2009-04-25,17:35,Elk,34
2009-04-26,14:23,Wolverine,4
2009-04-27,20:09,Muskox,37
2009-04-28,12:22,Muskox,16
2009-04-28,00:55,Wolverine,10
2009-04-28,23:54,Wolverine,35
2009-04-29,05:39,Elk,1
2009-04-29,06:00,Wolverine,29
2009-04-30,14:26,Ptarmigan,14
2009-05-01,18:07,Fox,27
2009-05-02,18:03,Wolf,19
2009-05-03,10:32,Ptarmigan,37
2009-05-03,08:53,Wolverine,12
2009-05-03,04:50,Wolverine,23
2009-05-04,16:21,Owl,21
2009-05-04,12:22,Fox,18
2009-05-04,21:24,Owl,35
2009-05-04,03:57,Wolverine,22
2009-05-05,19:07,Fox,33
2009-05-05,19:52,Moose,33
2009-05-06,05:49,Owl,38
2009-05-06,07:55,Muskox,20
2009-05-07,19:35,Wolf,36
2009-05-08,13:23,Grizzly,34
2009-05-09,12:12,Ptarmigan,38
2009-05-10,10:21,Ptarmigan,10
2009-05-11,20:56,Moose,42
2009-05-11,03:14,Grizzly,39
2009-05-11,02:15,Wolverine,5
2009-05-11,20:19,Wolverine,31
2009-05-11,18:36,Owl,6
2009-05-11,15:32,Elk,3
2009-05-11,07:00,Wolverine,39
2009-05-11,07:12,Owl,39
2009-05-11,03:39,Wolf,4
2009-05-11,16:44,Owl,28
2009-05-11,01:13,Grizzly,2
2009-05-11,05:11,Ptarmigan,20
2009-05-11,02:53,Wolf,31
2009-05-11,14:37,Grizzly,17
2009-05-12,17:22,Grizzly,31
2009-05-13,21:27,Moose,17
2009-05-13,14:56,Grizzly,35
2009-05-13,07:32,Wolverine,5
2009-05-14,10:49,Grizzly,9
2009-05-14,04:46,Muskox,7
2009-05-14,03:25,Fox,30
2009-05-15,11:36,Fox,25
2009-05-15,07:27,Wolverine,24
2009-05-15,16:56,Fox,15
2009-05-15,23:24,Fox,9
2009-05-15,04:34,Elk,3
2009-05-16,05:12,Fox,6
2009-05-17,07:03,Owl,27
2009-05-18,14:10,Grizzly,29
2009-05-19,17:49,Owl,30
2009-05-19,10:38,Fox,37
2009-05-19,00:43,Fox,32
2009-05-20,15:19,Moose,20
2009-05-21,22:22,Fox,21
2009-05-22,10:59,Wolf,15
2009-05-22,06:58,Ptarmigan,40
2009-05-22,02:54,Wolverine,34
2009-05-23,04:11,Fox,25
2009-05-23,18:40,Moose,32
2009-05-24,13:05,Elk,16
2009-05-25,23:18,Elk,31
2009-05-25,15:33,Owl,3
2009-05-26,22:08,Muskox,26
2009-05-26,02:05,Wolverine,36
2009-05-26,04:13,Wolverine,35
2009-05-27,19:33,Grizzly,16
2009-05-28,07:26,Wolverine,25
2009-05-28,02:23,Ptarmigan,27
2009-05-29,23:32,Ptarmigan,33
2009-05-30,09:41,Wolverine,33
2009-05-30,18:46,Wolverine,39
2009-05-30,07:07,Ptarmigan,34
2009-05-30,22:13,Elk,28
2009-05-30,12:53,Wolverine,14
2009-05-31,02:19,Grizzly,21
2009-05-31,08:44,Wolverine,19
2009-05-31,23:13,Moose,2
2009-06-01,17:51,Wolf,33
2009-06-01,13:48,Fox,11
2009-06-02,04:46,Fox,35
2009-06-03,16:44,Moose,34
2009-06-03,10:10,Grizzly,5
2009-06-03,18:57,Elk,33
2009-06-04,15:46,Muskox,23
2009-06-04,21:34,Ptarmigan,1
2009-06-04,00:26,Wolf,19
2009-06-04,01:46,Muskox,26
2009-06-04,01:03,Ptarmigan,42
2009-06-05,09:40,Owl,21
2009-06-05,00:18,Wolf,4
2009-06-05,23:43,Ptarmigan,22
2009-06-06,02:20,Grizzly,10
2009-06-06,06:34,Moose,32
