country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1977	14880372	Asia	38.438	786.11336
Albania	1977	2509048	Europe	68.93	3533.00391
Algeria	1977	17152804	Africa	58.014	4910.416756
Angola	1977	6162675	Africa	39.483	3008.647355
Argentina	1977	26983828	Americas	68.481	10079.02674
Australia	1977	14074100	Oceania	73.49	18334.19751
Austria	1977	7568430	Europe	72.17	19749.4223
Bahrain	1977	297410	Asia	65.593	19340.10196
Bangladesh	1977	80428306	Asia	46.923	659.8772322
Belgium	1977	9821800	Europe	72.8	19117.97448
Benin	1977	3168267	Africa	49.19	1029.161251
Bolivia	1977	5079716	Americas	50.023	3548.097832
Bosnia_and_Herzegovina	1977	4086000	Europe	69.86	3528.481305
Botswana	1977	781472	Africa	59.319	3214.857818
Brazil	1977	114313951	Americas	61.489	6660.118654
Bulgaria	1977	8797022	Europe	70.81	7612.240438
Burkina_Faso	1977	5889574	Africa	46.137	743.3870368
Burundi	1977	3834415	Africa	45.91	556.1032651
Cambodia	1977	6978607	Asia	31.22	524.9721832
Cameroon	1977	7959865	Africa	49.355	1783.432873
Canada	1977	23796400	Americas	74.21	22090.88306
Central_African_Republic	1977	2167533	Africa	46.775	1109.374338
Chad	1977	4388260	Africa	47.383	1133.98495
Chile	1977	10599793	Americas	67.052	4756.763836
China	1977	943455000	Asia	63.96736	741.2374699
Colombia	1977	25094412	Americas	63.837	3815.80787
Comoros	1977	304739	Africa	50.939	1172.603047
Congo,_Dem._Rep.	1977	26480870	Africa	47.804	795.757282
Congo,_Rep.	1977	1536769	Africa	55.625	3259.178978
Costa_Rica	1977	2108457	Americas	70.75	5926.876967
Cote_d'Ivoire	1977	7459574	Africa	52.374	2517.736547
Croatia	1977	4318673	Europe	70.64	11305.38517
Cuba	1977	9537988	Americas	72.649	6380.494966
Czech_Republic	1977	10161915	Europe	70.71	14800.16062
Denmark	1977	5088419	Europe	74.69	20422.9015
Djibouti	1977	228694	Africa	46.519	3081.761022
Dominican_Republic	1977	5302800	Americas	61.788	2681.9889
Ecuador	1977	7278866	Americas	61.31	6679.62326
Egypt	1977	38783863	Africa	53.319	2785.493582
El_Salvador	1977	4282586	Americas	56.696	5138.922374
Equatorial_Guinea	1977	192675	Africa	42.024	958.5668124
Eritrea	1977	2512642	Africa	44.535	505.7538077
Ethiopia	1977	34617799	Africa	44.51	556.8083834
Finland	1977	4738902	Europe	72.52	15605.42283
France	1977	53165019	Europe	73.83	18292.63514
Gabon	1977	706367	Africa	52.79	21745.57328
Gambia	1977	608274	Africa	41.842	884.7552507
Germany	1977	78160773	Europe	72.5	20512.92123
Ghana	1977	10538093	Africa	51.756	993.2239571
Greece	1977	9308479	Europe	73.68	14195.52428
Guatemala	1977	5703430	Americas	56.029	4879.992748
Guinea	1977	4227026	Africa	40.762	874.6858643
Guinea-Bissau	1977	745228	Africa	37.465	764.7259628
Haiti	1977	4908554	Americas	49.923	1874.298931
Honduras	1977	3055235	Americas	57.402	3203.208066
Hong_Kong,_China	1977	4583700	Asia	73.6	11186.14125
Hungary	1977	10637171	Europe	69.95	11674.83737
Iceland	1977	221823	Europe	76.11	19654.96247
India	1977	6.34e+08	Asia	54.208	813.337323
Indonesia	1977	136725000	Asia	52.702	1382.702056
Iran	1977	35480679	Asia	57.702	11888.59508
Iraq	1977	11882916	Asia	60.413	14688.23507
Ireland	1977	3271900	Europe	72.03	11150.98113
Israel	1977	3495918	Asia	73.06	13306.61921
Italy	1977	56059245	Europe	73.48	14255.98475
Jamaica	1977	2156814	Americas	70.11	6650.195573
Japan	1977	113872473	Asia	75.38	16610.37701
Jordan	1977	1937652	Asia	61.134	2852.351568
Kenya	1977	14500404	Africa	56.155	1267.613204
Korea,_Dem._Rep.	1977	16325320	Asia	67.159	4106.301249
Korea,_Rep.	1977	36436000	Asia	64.766	4657.22102
Kuwait	1977	1140357	Asia	69.343	59265.47714
Lebanon	1977	3115787	Asia	66.099	8659.696836
Lesotho	1977	1251524	Africa	52.208	745.3695408
Liberia	1977	1703617	Africa	43.764	640.3224383
Libya	1977	2721783	Africa	57.442	21951.21176
Madagascar	1977	8007166	Africa	46.881	1544.228586
Malawi	1977	5637246	Africa	43.767	663.2236766
Malaysia	1977	12845381	Asia	65.256	3827.921571
Mali	1977	6491649	Africa	41.714	686.3952693
Mauritania	1977	1456688	Africa	50.852	1497.492223
Mauritius	1977	913025	Africa	64.93	3710.982963
Mexico	1977	63759976	Americas	65.032	7674.929108
Mongolia	1977	1528000	Asia	55.491	1647.511665
Montenegro	1977	560073	Europe	73.066	9595.929905
Morocco	1977	18396941	Africa	55.73	2370.619976
Mozambique	1977	11127868	Africa	42.495	502.3197334
Myanmar	1977	31528087	Asia	56.059	371
Namibia	1977	977026	Africa	56.437	3876.485958
Nepal	1977	13933198	Asia	46.748	694.1124398
Netherlands	1977	13852989	Europe	75.24	21209.0592
New_Zealand	1977	3164900	Oceania	72.22	16233.7177
Nicaragua	1977	2554598	Americas	57.47	5486.371089
Niger	1977	5682086	Africa	41.291	808.8970728
Nigeria	1977	62209173	Africa	44.514	1981.951806
Norway	1977	4043205	Europe	75.37	23311.34939
Oman	1977	1004533	Asia	57.367	11848.34392
Pakistan	1977	78152686	Asia	54.043	1175.921193
Panama	1977	1839782	Americas	68.681	5351.912144
Paraguay	1977	2984494	Americas	66.353	3248.373311
Peru	1977	15990099	Americas	58.447	6281.290855
Philippines	1977	46850962	Asia	60.06	2373.204287
Poland	1977	34621254	Europe	70.67	9508.141454
Portugal	1977	9662600	Europe	70.41	10172.48572
Puerto_Rico	1977	3080828	Americas	73.44	9770.524921
Reunion	1977	492095	Africa	67.064	4319.804067
Romania	1977	21658597	Europe	69.46	9356.39724
Rwanda	1977	4657072	Africa	45	670.0806011
Sao_Tome_and_Principe	1977	86796	Africa	58.55	1737.561657
Saudi_Arabia	1977	8128505	Asia	58.69	34167.7626
Senegal	1977	5260855	Africa	48.879	1561.769116
Serbia	1977	8686367	Europe	70.3	12980.66956
Sierra_Leone	1977	3140897	Africa	36.788	1348.285159
Singapore	1977	2325300	Asia	70.795	11210.08948
Slovak_Republic	1977	4827803	Europe	70.45	10922.66404
Slovenia	1977	1746919	Europe	70.97	15277.03017
Somalia	1977	4353666	Africa	41.974	1450.992513
South_Africa	1977	27129932	Africa	55.527	8028.651439
Spain	1977	36439000	Europe	74.39	13236.92117
Sri_Lanka	1977	14116836	Asia	65.949	1348.775651
Sudan	1977	17104986	Africa	47.8	2202.988423
Swaziland	1977	551425	Africa	52.537	3781.410618
Sweden	1977	8251648	Europe	75.44	18855.72521
Switzerland	1977	6316424	Europe	75.39	26982.29052
Syria	1977	7932503	Asia	61.195	3195.484582
Taiwan	1977	16785196	Asia	70.59	5596.519826
Tanzania	1977	17129565	Africa	49.919	962.4922932
Thailand	1977	44148285	Asia	62.494	1961.224635
Togo	1977	2308582	Africa	52.887	1532.776998
Trinidad_and_Tobago	1977	1039009	Americas	68.3	7899.554209
Tunisia	1977	6005061	Africa	59.837	3120.876811
Turkey	1977	42404033	Europe	59.507	4269.122326
Uganda	1977	11457758	Africa	50.35	843.7331372
United_Kingdom	1977	56179000	Europe	72.76	17428.74846
United_States	1977	220239000	Americas	73.38	24072.63213
Uruguay	1977	2873520	Americas	69.481	6504.339663
Venezuela	1977	13503563	Americas	67.456	13143.95095
Vietnam	1977	50533506	Asia	55.764	713.5371196
West_Bank_and_Gaza	1977	1261091	Asia	60.765	3682.831494
Yemen,_Rep.	1977	8403990	Asia	44.175	1829.765177
Zambia	1977	5216550	Africa	51.386	1588.688299
Zimbabwe	1977	6642107	Africa	57.674	685.5876821
