Athlete	Age	Country	Year	Closing_Ceremony_Date	Sport	Gold_Medals	Silver_Medals	Bronze_Medals	Total_Medals
Michael_Phelps	23	United_States	2008	8/24/08	Swimming	8	0	0	8
Michael_Phelps	19	United_States	2004	8/29/04	Swimming	6	0	2	8
Michael_Phelps	27	United_States	2012	8/12/12	Swimming	4	2	0	6
Natalie_Coughlin	25	United_States	2008	8/24/08	Swimming	1	2	3	6
Aleksey_Nemov	24	Russia	2000	10/1/00	Gymnastics	2	1	3	6
Alicia_Coutts	24	Australia	2012	8/12/12	Swimming	1	3	1	5
Missy_Franklin	17	United_States	2012	8/12/12	Swimming	4	0	1	5
Ryan_Lochte	27	United_States	2012	8/12/12	Swimming	2	2	1	5
Allison_Schmitt	22	United_States	2012	8/12/12	Swimming	3	1	1	5
Natalie_Coughlin	21	United_States	2004	8/29/04	Swimming	2	2	1	5
Ian_Thorpe	17	Australia	2000	10/1/00	Swimming	3	2	0	5
Dara_Torres	33	United_States	2000	10/1/00	Swimming	2	0	3	5
Cindy_Klassen	26	Canada	2006	2/26/06	Speed_Skating	1	2	2	5
Nastia_Liukin	18	United_States	2008	8/24/08	Gymnastics	1	3	1	5
Marit_Bjørgen	29	Norway	2010	2/28/10	Cross_Country_Skiing	3	1	1	5
Sun_Yang	20	China	2012	8/12/12	Swimming	2	1	1	4
Kirsty_Coventry	24	Zimbabwe	2008	8/24/08	Swimming	1	3	0	4
Libby_Lenton-Trickett	23	Australia	2008	8/24/08	Swimming	2	1	1	4
Ryan_Lochte	24	United_States	2008	8/24/08	Swimming	2	0	2	4
Inge_de_Bruijn	30	Netherlands	2004	8/29/04	Swimming	1	1	2	4
Petria_Thomas	28	Australia	2004	8/29/04	Swimming	3	1	0	4
Ian_Thorpe	21	Australia	2004	8/29/04	Swimming	2	1	1	4
Inge_de_Bruijn	27	Netherlands	2000	10/1/00	Swimming	3	1	0	4
Gary_Hall_Jr.	25	United_States	2000	10/1/00	Swimming	2	1	1	4
Michael_Klim	23	Australia	2000	10/1/00	Swimming	2	2	0	4
Susie_O'Neill	27	Australia	2000	10/1/00	Swimming	1	3	0	4
Jenny_Thompson	27	United_States	2000	10/1/00	Swimming	3	0	1	4
Pieter_van_den_Hoogenband	22	Netherlands	2000	10/1/00	Swimming	2	0	2	4
An_Hyeon-Su	20	South_Korea	2006	2/26/06	Short-Track_Speed_Skating	3	0	1	4
Aliya_Mustafina	17	Russia	2012	8/12/12	Gymnastics	1	1	2	4
Shawn_Johnson	16	United_States	2008	8/24/08	Gymnastics	1	3	0	4
Dmitry_Sautin	26	Russia	2000	10/1/00	Diving	1	1	2	4
Leontien_Zijlaard-van_Moorsel	30	Netherlands	2000	10/1/00	Cycling	3	1	0	4
Petter_Northug_Jr.	24	Norway	2010	2/28/10	Cross_Country_Skiing	2	1	1	4
Ole_Einar_Bjørndalen	28	Norway	2002	2/24/02	Biathlon	4	0	0	4
Janica_Kostelic	20	Croatia	2002	2/24/02	Alpine_Skiing	3	1	0	4
Nathan_Adrian	23	United_States	2012	8/12/12	Swimming	2	1	0	3
Yannick_Agnel	20	France	2012	8/12/12	Swimming	2	1	0	3
Brittany_Elmslie	18	Australia	2012	8/12/12	Swimming	1	2	0	3
Matt_Grevers	27	United_States	2012	8/12/12	Swimming	2	1	0	3
Ryosuke_Irie	22	Japan	2012	8/12/12	Swimming	0	2	1	3
Cullen_Jones	28	United_States	2012	8/12/12	Swimming	1	2	0	3
Ranomi_Kromowidjojo	21	Netherlands	2012	8/12/12	Swimming	2	1	0	3
Camille_Muffat	22	France	2012	8/12/12	Swimming	1	1	1	3
Mel_Schlanger	25	Australia	2012	8/12/12	Swimming	1	2	0	3
Emily_Seebohm	20	Australia	2012	8/12/12	Swimming	1	2	0	3
Rebecca_Soni	25	United_States	2012	8/12/12	Swimming	2	1	0	3
Satomi_Suzuki	21	Japan	2012	8/12/12	Swimming	0	1	2	3
Dana_Vollmer	24	United_States	2012	8/12/12	Swimming	3	0	0	3
Alain_Bernard	25	France	2008	8/24/08	Swimming	1	1	1	3
László_Cseh_Jr.	22	Hungary	2008	8/24/08	Swimming	0	3	0	3
Matt_Grevers	23	United_States	2008	8/24/08	Swimming	2	1	0	3
Margaret_Hoelzer	25	United_States	2008	8/24/08	Swimming	0	2	1	3
Katie_Hoff	19	United_States	2008	8/24/08	Swimming	0	1	2	3
Leisel_Jones	22	Australia	2008	8/24/08	Swimming	2	1	0	3
Kosuke_Kitajima	25	Japan	2008	8/24/08	Swimming	2	0	1	3
Andrew_Lauterstein	21	Australia	2008	8/24/08	Swimming	0	1	2	3
Jason_Lezak	32	United_States	2008	8/24/08	Swimming	2	0	1	3
Pang_Jiaying	23	China	2008	8/24/08	Swimming	0	1	2	3
Aaron_Peirsol	25	United_States	2008	8/24/08	Swimming	2	1	0	3
Steph_Rice	20	Australia	2008	8/24/08	Swimming	3	0	0	3
Jess_Schipper	21	Australia	2008	8/24/08	Swimming	1	0	2	3
Rebecca_Soni	21	United_States	2008	8/24/08	Swimming	1	2	0	3
Eamon_Sullivan	22	Australia	2008	8/24/08	Swimming	0	2	1	3
Dara_Torres	41	United_States	2008	8/24/08	Swimming	0	3	0	3
Amanda_Beard	22	United_States	2004	8/29/04	Swimming	1	2	0	3
Antje_Buschschulte	25	Germany	2004	8/29/04	Swimming	0	0	3	3
Kirsty_Coventry	20	Zimbabwe	2004	8/29/04	Swimming	1	1	1	3
Ian_Crocker	21	United_States	2004	8/29/04	Swimming	1	1	1	3
Grant_Hackett	24	Australia	2004	8/29/04	Swimming	1	2	0	3
Brendan_Hansen	22	United_States	2004	8/29/04	Swimming	1	1	1	3
Jodie_Henry	20	Australia	2004	8/29/04	Swimming	3	0	0	3
Otylia_Jedrzejczak	20	Poland	2004	8/29/04	Swimming	1	2	0	3
Leisel_Jones	18	Australia	2004	8/29/04	Swimming	1	1	1	3
Kosuke_Kitajima	21	Japan	2004	8/29/04	Swimming	2	0	1	3
Laure_Manaudou	17	France	2004	8/29/04	Swimming	1	1	1	3
Aaron_Peirsol	21	United_States	2004	8/29/04	Swimming	3	0	0	3
Kaitlin_Sandeno	21	United_States	2004	8/29/04	Swimming	1	1	1	3
Roland_Schoeman	24	South_Africa	2004	8/29/04	Swimming	1	1	1	3
Pieter_van_den_Hoogenband	26	Netherlands	2004	8/29/04	Swimming	1	2	0	3
Therese_Alshammar	23	Sweden	2000	10/1/00	Swimming	0	2	1	3
Yana_Klochkova	18	Ukraine	2000	10/1/00	Swimming	2	1	0	3
Lenny_Krayzelburg	24	United_States	2000	10/1/00	Swimming	3	0	0	3
Massimiliano_Rosolino	22	Italy	2000	10/1/00	Swimming	1	1	1	3
Petria_Thomas	25	Australia	2000	10/1/00	Swimming	0	2	1	3
Matt_Welsh	23	Australia	2000	10/1/00	Swimming	0	2	1	3
Lee_Jeong-Su	20	South_Korea	2010	2/28/10	Short-Track_Speed_Skating	2	1	0	3
Apolo_Anton_Ohno	27	United_States	2010	2/28/10	Short-Track_Speed_Skating	0	1	2	3
Wang_Meng	24	China	2010	2/28/10	Short-Track_Speed_Skating	3	0	0	3
Jin_Seon-Yu	17	South_Korea	2006	2/26/06	Short-Track_Speed_Skating	3	0	0	3
Lee_Ho-Seok	19	South_Korea	2006	2/26/06	Short-Track_Speed_Skating	1	2	0	3
Apolo_Anton_Ohno	23	United_States	2006	2/26/06	Short-Track_Speed_Skating	1	0	2	3
Wang_Meng	20	China	2006	2/26/06	Short-Track_Speed_Skating	1	1	1	3
Marc_Gagnon	26	Canada	2002	2/24/02	Short-Track_Speed_Skating	2	0	1	3
Yang_Yang_(A)	25	China	2002	2/24/02	Short-Track_Speed_Skating	2	1	0	3
Stephanie_Beckert	21	Germany	2010	2/28/10	Speed_Skating	1	2	0	3
Martina_Sáblíková	22	Czech_Republic	2010	2/28/10	Speed_Skating	2	0	1	3
Enrico_Fabris	24	Italy	2006	2/26/06	Speed_Skating	2	0	1	3
Chad_Hedrick	28	United_States	2006	2/26/06	Speed_Skating	1	1	1	3
Jochem_Uytdehaage	25	Netherlands	2002	2/24/02	Speed_Skating	2	1	0	3
Sabine_Völker	28	Germany	2002	2/24/02	Speed_Skating	0	2	1	3
Gregor_Schlierenzauer	20	Austria	2010	2/28/10	Ski_Jumping	1	0	2	3
Lars_Bystøl	27	Norway	2006	2/26/06	Ski_Jumping	1	0	2	3
Johnny_Spillane	29	United_States	2010	2/28/10	Nordic_Combined	0	3	0	3
Felix_Gottwald	30	Austria	2006	2/26/06	Nordic_Combined	2	1	0	3
Georg_Hettich	27	Germany	2006	2/26/06	Nordic_Combined	1	1	1	3
Felix_Gottwald	26	Austria	2002	2/24/02	Nordic_Combined	0	0	3	3
Samppa_Lajunen	22	Finland	2002	2/24/02	Nordic_Combined	3	0	0	3
Aly_Raisman	18	United_States	2012	8/12/12	Gymnastics	2	0	1	3
Kohei_Uchimura	23	Japan	2012	8/12/12	Gymnastics	1	2	0	3
Zou_Kai	24	China	2012	8/12/12	Gymnastics	2	0	1	3
Cheng_Fei	20	China	2008	8/24/08	Gymnastics	1	0	2	3
Yang_Wei	28	China	2008	8/24/08	Gymnastics	2	1	0	3
Yang_Yilin	15	China	2008	8/24/08	Gymnastics	1	0	2	3
Zou_Kai	20	China	2008	8/24/08	Gymnastics	3	0	0	3
Marian_Dragulescu	23	Romania	2004	8/29/04	Gymnastics	0	1	2	3
Paul_Hamm	21	United_States	2004	8/29/04	Gymnastics	1	2	0	3
Carly_Patterson	16	United_States	2004	8/29/04	Gymnastics	1	2	0	3
Catalina_Ponor	16	Romania	2004	8/29/04	Gymnastics	3	0	0	3
Simona_Amânar	20	Romania	2000	10/1/00	Gymnastics	2	0	1	3
Svetlana_Khorkina	21	Russia	2000	10/1/00	Gymnastics	1	2	0	3
Yekaterina_Lobaznyuk	17	Russia	2000	10/1/00	Gymnastics	0	2	1	3
Yelena_Zamolodchikova	17	Russia	2000	10/1/00	Gymnastics	2	1	0	3
Guo_Shuang	26	China	2012	8/12/12	Cycling	0	2	1	3
Chris_Hoy	32	Great_Britain	2008	8/24/08	Cycling	3	0	0	3
Bradley_Wiggins	24	Great_Britain	2004	8/29/04	Cycling	1	1	1	3
Florian_Rousseau	26	France	2000	10/1/00	Cycling	2	1	0	3
Justyna_Kowalczyk	27	Poland	2010	2/28/10	Cross_Country_Skiing	1	1	1	3
Johan_Olsson	29	Sweden	2010	2/28/10	Cross_Country_Skiing	1	0	2	3
